MCTS_First_Win,MCTS_Second_Win,MCTS_First_Lose,MCTS_Second_Lose,Resources,MCTS_TIME,Other_Player_Timer
20.0,18.0,5.0,7.0,30.0,23.493374905586247,48.67613450050354
17.0,16.0,7.0,7.0,40.0,39.681287121772776,45.44952825069427
16.0,13.0,7.0,11.0,50.0,60.66438188552856,43.55558678150177
19.0,13.0,6.0,12.0,60.0,84.77745604991912,47.31660966396332
16.0,14.0,7.0,9.0,70.0,115.42602559566498,41.77337171077728
15.0,18.0,10.0,6.0,80.0,148.47755350112914,44.67376573085785
17.0,12.0,8.0,10.0,100.0,192.49521013259888,42.54248055934906
